spring,season of blooming
flower,blossoming plant
planet,celestial body orbiting a star
rocket,vehicle for space travel
turtle,shelled reptile
camera,device for taking photographs
dragon,mythical fire-breathing creature
banana,yellow tropical fruit
guitar,stringed musical instrument
castle,medieval fortified building
mosaic, artwork made from small pieces.
dragon, mythical creature in legends.
jaguar, large spotted cat native to the americas.
tunnel, underground passage for transportation.
shadow, dark area created by blocking light.
banana, yellow fruit with a peel.
cherry, small red fruit.
rocket, vehicle for space exploration.
silver, shiny metal often used in jewelry.
forest, dense area with trees and wildlife.
doctor, medical professional
market, place of buying and selling goods
sphere, three-dimensional round object
banana, tropical yellow fruit
anchor, heavy object used to secure a ship
circus, entertainment show with performers and animals
rocket, vehicle used for space travel
wisdom, knowledge and good judgment
planet, celestial body orbiting a star
garden, outdoor space for growing plants
